,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
153,Renault,Kangoo,2017,124999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,138000
154,Citroen,C3,2019,27499.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,146000
157,Volkswagen,Polo,2007,194999.5,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,66000
159,Volkswagen,PASSAT CC,2008,164999.5,Diesel,8,Automatique,5,Dédouanée,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123000
161,Renault,Kangoo,2012,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80300
162,Volkswagen,GOLF 5,2009,52499.5,Diesel,8,Manuelle,5,Dédouanée,Non,Bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,78000
163,Audi,A3,2018,12499.5,Diesel,8,Automatique,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,350000
167,Renault,Megane 4,2018,57499.5,Diesel,6,Automatique,5,Dédouanée,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,165000
168,Fiat,FIORINO,2019,47499.5,Diesel,5,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,102000
173,Peugeot,Bipper,2013,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67000
174,Mercedes-Benz,220,2002,224999.5,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,85000
175,Renault,Kangoo,2005,224999.5,Diesel,7,Manuelle,5,WW au Maroc,Oui,Très bon,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,62000
178,Mercedes-Benz,250,1999,194999.5,Diesel,9,Automatique,5,Dédouanée,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,73000
180,Peugeot,308,2017,104999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,138000
181,Ford,Focus,2013,154999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,119000
185,Audi,Q2,2018,87499.5,Diesel,8,Automatique,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,290000
187,Fiat,FIORINO,2018,104999.5,Diesel,5,Manuelle,5,WW au Maroc,Oui,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,98000
189,Citroen,Berlingo,2012,194999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,90000
190,Dacia,Sandero,2011,224999.5,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67000
191,Fiat,TIPO,2018,62499.5,Diesel,5,Manuelle,5,WW au Maroc,Non,Excellent,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,110000
192,Volkswagen,Passat,2004,274999.5,Diesel,8,Manuelle,5,Importée neuve,Oui,Très bon,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,60000
193,Mercedes-Benz,190,1991,2499.5,Diesel,8,Manuelle,3,Dédouanée,Non,Pour Pièces,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,66000
194,Audi,A3,2017,92499.5,Diesel,8,Automatique,5,Dédouanée,Oui,Très bon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260000
196,Peugeot,301,2013,224999.5,Essence,7,Manuelle,5,WW au Maroc,Non,Très bon,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,60000
197,Volkswagen,Touran,2017,184999.5,Diesel,8,Automatique,5,Dédouanée,Non,Excellent,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,240000
